gen,id,probability_maraud,position,successful_mating
0,0,0.01,0,9
0,1,0.3,900,18
0,2,0.01,1800,9
0,3,0.3,2700,12
0,4,0.01,3600,2
0,5,0.3,4500,14
0,6,0.01,5400,3
0,7,0.3,6300,10
0,8,0.01,7200,5
0,9,0.3,8100,13
0,10,0.01,9000,2
0,11,0.3,9900,11
1,0,0.01,0,3
1,1,0.24070248358380586,900,21
1,2,0.006975358361645553,1800,5
1,3,0.3953418289124008,2700,13
1,4,0.01,3600,2
1,5,0.38169773410216856,4500,14
1,6,0.01,5400,2
1,7,0.46960890117680787,6300,14
1,8,0.015393608131379985,7200,4
1,9,0.1803439512559899,8100,13
1,10,0.01,9000,4
1,11,0.3,9900,13
2,0,0.01,0,6
2,1,0.17222253774712024,900,17
2,2,0.0036017831976906454,1800,1
2,3,0.49924240332289327,2700,12
2,4,0.01,3600,0
2,5,0.38169773410216856,4500,16
2,6,0.01,5400,1
2,7,0.46960890117680787,6300,19
2,8,0.030599612340055694,7200,3
2,9,0.1803439512559899,8100,10
2,10,0.006070135136911481,9000,4
2,11,0.3,9900,19
3,0,0.01,0,4
3,1,0.19437786971071594,900,19
3,2,0.0036017831976906454,1800,2
3,3,0.3642413132353815,2700,9
3,4,0.0074781623219330445,3600,1
3,5,0.38169773410216856,4500,13
3,6,0.008109534849197943,5400,1
3,7,0.5871407516748838,6300,21
3,8,0.030599612340055694,7200,3
3,9,0.1803439512559899,8100,13
3,10,0.004394256249957094,9000,2
3,11,0.3,9900,20
4,0,0.01,0,4
4,1,0.31860933542263775,900,12
4,2,0.0036017831976906454,1800,2
4,3,0.3642413132353815,2700,15
4,4,0.004158741454922266,3600,4
4,5,0.5083261600560623,4500,18
4,6,0.003892567915070162,5400,0
4,7,0.4036308626259319,6300,18
4,8,0.03223519732227275,7200,6
4,9,0.1803439512559899,8100,13
4,10,0.004394256249957094,9000,4
4,11,0.31351489922505954,9900,12
5,0,0.020210669509363816,0,3
5,1,0.2975136979341681,900,21
5,2,0.0036017831976906454,1800,3
5,3,0.3642413132353815,2700,22
5,4,0.004002178612422543,3600,2
5,5,0.5083261600560623,4500,15
5,6,0.003892567915070162,5400,0
5,7,0.2920484399843081,6300,13
5,8,0.04281768516979668,7200,5
5,9,0.2649379392376782,8100,12
5,10,0.004394256249957094,9000,4
5,11,0.31351489922505954,9900,8
6,0,0.02613123422444939,0,6
6,1,0.2975136979341681,900,15
6,2,0.0036017831976906454,1800,7
6,3,0.3642413132353815,2700,12
6,4,0.004002178612422543,3600,3
6,5,0.5083261600560623,4500,11
6,6,0.003892567915070162,5400,5
6,7,0.2920484399843081,6300,14
6,8,0.08504701831137765,7200,5
6,9,0.15124639522265054,8100,15
6,10,0.004394256249957094,9000,2
6,11,0.31351489922505954,9900,13
7,0,0.029712201910310133,0,1
7,1,0.17550908844876548,900,17
7,2,0.0036539075531632956,1800,6
7,3,0.3642413132353815,2700,7
7,4,0.0060691439780748676,3600,3
7,5,0.5083261600560623,4500,14
7,6,0.003892567915070162,5400,6
7,7,0.24464821202205916,6300,20
7,8,0.08504701831137765,7200,1
7,9,0.24719242049164067,8100,12
7,10,0.004394256249957094,9000,4
7,11,0.31351489922505954,9900,17
8,0,0.03297863962915613,0,5
8,1,0.15210482213144172,900,14
8,2,0.004944497259747388,1800,2
