gen,id,probability_maraud,position,successful_mating
0,0,0.01,0,3
0,1,0.3,600,14
0,2,0.01,1200,0
0,3,0.3,1800,23
0,4,0.01,2400,4
0,5,0.3,3000,10
1,0,0.008817731130211325,0,3
1,1,0.3,600,16
1,2,0.008204513111047577,1200,5
1,3,0.3,1800,13
1,4,0.012325418773621333,2400,6
1,5,0.3,3000,11
2,0,0.012962281470421557,0,3
2,1,0.3,600,14
2,2,0.014291033069425786,1200,4
2,3,0.3,1800,14
2,4,0.012820830309038063,2400,5
2,5,0.3,3000,14
3,0,0.019694272611923924,0,2
3,1,0.3,600,15
3,2,0.010639760423702826,1200,5
3,3,0.3,1800,15
3,4,0.012508661440166076,2400,4
3,5,0.3,3000,13
4,0,0.0351234598479689,0,10
4,1,0.3,600,6
4,2,0.011673405066533775,1200,6
4,3,0.3,1800,15
4,4,0.021322217329095092,2400,3
4,5,0.3,3000,14
5,0,0.0351234598479689,0,10
5,1,0.24924954242581862,600,14
5,2,0.0176796975773244,1200,7
5,3,0.3,1800,7
5,4,0.017176703190396155,2400,4
5,5,0.3,3000,12
6,0,0.0351234598479689,0,7
6,1,0.24924954242581862,600,12
6,2,0.014859129453069764,1200,6
6,3,0.3747205598842907,1800,13
6,4,0.040698558099006125,2400,5
6,5,0.3,3000,11
7,0,0.022623599134350372,0,3
7,1,0.24924954242581862,600,15
7,2,0.013653428423802462,1200,3
7,3,0.3747205598842907,1800,13
7,4,0.07603568278194489,2400,9
7,5,0.3,3000,11
8,0,0.011712706789294073,0,3
8,1,0.24924954242581862,600,9
8,2,0.005996962265050956,1200,0
8,3,0.3747205598842907,1800,17
8,4,0.07603568278194489,2400,9
8,5,0.3,3000,16
9,0,0.010512130348093273,0,2
9,1,0.24924954242581862,600,17
9,2,0.006055104160783461,1200,4
9,3,0.3747205598842907,1800,14
9,4,0.07603568278194489,2400,4
9,5,0.3,3000,13
10,0,0.010455312821882785,0,8
10,1,0.24924954242581862,600,15
10,2,0.00956312084434647,1200,4
10,3,0.3747205598842907,1800,12
10,4,0.05711437985233835,2400,4
10,5,0.3,3000,11
11,0,0.010157710012723786,0,5
11,1,0.24924954242581862,600,15
11,2,0.008217209505512779,1200,4
11,3,0.3747205598842907,1800,9
11,4,0.08500252298826243,2400,5
11,5,0.3,3000,16
12,0,0.009069823744823973,0,3
12,1,0.24924954242581862,600,11
12,2,0.006687930298862829,1200,10
12,3,0.3747205598842907,1800,13
12,4,0.07575811210236015,2400,4
12,5,0.3,3000,13
13,0,0.008443591957310531,0,5
13,1,0.24924954242581862,600,18
13,2,0.006687930298862829,1200,2
13,3,0.3747205598842907,1800,10
13,4,0.08904378416649386,2400,5
13,5,0.3,3000,14
14,0,0.005947798817620701,0,6
14,1,0.24924954242581862,600,17
14,2,0.003190807844179089,1200,4
14,3,0.3747205598842907,1800,12
14,4,0.05730751390296142,2400,4
14,5,0.3,3000,11
15,0,0.008495963179995807,0,8
15,1,0.24924954242581862,600,11
15,2,0.0027602714200643786,1200,0
15,3,0.3747205598842907,1800,18
15,4,0.051951125798535384,2400,11
15,5,0.3,3000,6
16,0,0.008863884390665426,0,1
16,1,0.24924954242581862,600,20
16,2,0.0008631854105975744,1200,4
16,3,0.3747205598842907,1800,18
16,4,0.051951125798535384,2400,6
16,5,0.2934276054521433,3000,5
17,0,0.004407739332832877,0,4
17,1,0.24924954242581862,600,24
17,2,0.000663261130898719,1200,1
17,3,0.3747205598842907,1800,13
17,4,0.03909317783644107,2400,0
17,5,0.2998058557363592,3000,12
18,0,0.0055311475195219265,0,5
18,1,0.24924954242581862,600,8
18,2,0.0005292335263880305,1200,8
18,3,0.3747205598842907,1800,16
18,4,0.0247086387690191,2400,5
18,5,0.2998058557363592,3000,12
19,0,0.0031524065812660322,0,4
19,1,0.2732786242743629,600,14
19,2,0.0005577722064532402,1200,8
19,3,0.3747205598842907,1800,8
19,4,0.04739517819572417,2400,4
19,5,0.2998058557363592,3000,16
20,0,0.004571425843911764,0,4
20,1,0.2732786242743629,600,10
20,2,0.00048002064552006167,1200,7
20,3,0.341027435504427,1800,15
20,4,0.023871118900212575,2400,0
20,5,0.2998058557363592,3000,18
21,0,0.006230974493054359,0,3
21,1,0.2732786242743629,600,14
21,2,0.00045604760670471745,1200,3
21,3,0.341027435504427,1800,13
21,4,0.04997681274306624,2400,5
21,5,0.2998058557363592,3000,16
22,0,0.005611709390249417,0,4
22,1,0.2732786242743629,600,14
22,2,0.0006333647915732468,1200,4
22,3,0.341027435504427,1800,19
22,4,0.05439648728548966,2400,5
22,5,0.2998058557363592,3000,8
23,0,0.01068423161726179,0,6
23,1,0.2732786242743629,600,12
23,2,0.0010370578955766411,1200,6
23,3,0.341027435504427,1800,13
23,4,0.07154075505157664,2400,5
23,5,0.28530413126442955,3000,12
24,0,0.0076890231814892756,0,3
24,1,0.2732786242743629,600,13
24,2,0.0007135661871060837,1200,2
24,3,0.341027435504427,1800,18
24,4,0.1469645716727874,2400,3
24,5,0.28530413126442955,3000,15
25,0,0.004476351825584526,0,7
25,1,0.2732786242743629,600,14
25,2,0.00035250116257920066,1200,4
25,3,0.341027435504427,1800,12
25,4,0.1700752489804017,2400,7
25,5,0.28530413126442955,3000,9
26,0,0.003027197652855011,0,10
26,1,0.2732786242743629,600,14
26,2,0.0002716821265262025,1200,2
26,3,0.341027435504427,1800,13
26,4,0.14836175507289212,2400,4
26,5,0.28530413126442955,3000,11
27,0,0.003027197652855011,0,3
27,1,0.2732786242743629,600,19
27,2,0.0002862378831813083,1200,5
27,3,0.341027435504427,1800,11
27,4,0.1819125583648066,2400,5
27,5,0.28530413126442955,3000,11
28,0,0.004615528522419721,0,6
28,1,0.2732786242743629,600,20
28,2,0.00018545243961669785,1200,3
28,3,0.341027435504427,1800,10
28,4,0.12210900241116873,2400,3
28,5,0.28530413126442955,3000,12
29,0,0.006545870392118579,0,3
29,1,0.2732786242743629,600,11
29,2,0.00015993364913757064,1200,6
29,3,0.341027435504427,1800,14
29,4,0.10350992836200773,2400,4
29,5,0.28530413126442955,3000,16
30,0,0.0037998633333372546,0,3
30,1,0.2732786242743629,600,16
30,2,0.00011632920428890637,1200,5
30,3,0.341027435504427,1800,10
30,4,0.1528957243133492,2400,11
30,5,0.28530413126442955,3000,9
31,0,0.0037309434886167816,0,4
31,1,0.2732786242743629,600,10
31,2,0.00018797450492271468,1200,3
31,3,0.341027435504427,1800,21
31,4,0.1528957243133492,2400,4
31,5,0.28530413126442955,3000,12
32,0,0.003349688082488759,0,8
32,1,0.2732786242743629,600,9
32,2,0.00011994801078232922,1200,6
32,3,0.341027435504427,1800,15
32,4,0.10379133392196847,2400,3
32,5,0.28530413126442955,3000,13
