gen,id,probability_maraud,position,successful_mating
0,0,0.01,0,2
0,1,0.3,900,17
0,2,0.01,1800,2
0,3,0.3,2700,13
0,4,0.01,3600,2
0,5,0.3,4500,18
1,0,0.02077313825869619,0,3
1,1,0.3,900,14
1,2,0.006683596037217812,1800,5
1,3,0.3256600855624145,2700,14
1,4,0.01,3600,1
1,5,0.3,4500,17
2,0,0.02077313825869619,0,7
2,1,0.3,900,15
2,2,0.006683596037217812,1800,3
2,3,0.3421750056925825,2700,14
2,4,0.008481789410341521,3600,2
2,5,0.2230055198034876,4500,13
3,0,0.02077313825869619,0,3
3,1,0.3,900,16
3,2,0.013447593361664347,1800,1
3,3,0.5160937876133723,2700,19
3,4,0.005712100190204466,3600,3
3,5,0.3016220573101788,4500,12
4,0,0.02077313825869619,0,6
4,1,0.3,900,15
4,2,0.016041743606221032,1800,2
4,3,0.44269786620635365,2700,14
4,4,0.005712100190204466,3600,3
4,5,0.3016220573101788,4500,14
5,0,0.02077313825869619,0,3
5,1,0.25333255010532135,900,15
5,2,0.017730448599475604,1800,2
5,3,0.44269786620635365,2700,9
5,4,0.010758462757275256,3600,7
5,5,0.3016220573101788,4500,18
6,0,0.038825798861006185,0,2
6,1,0.22357988183940913,900,13
6,2,0.034987401240673836,1800,6
6,3,0.44269786620635365,2700,12
6,4,0.021354006511832502,3600,5
6,5,0.3016220573101788,4500,16
7,0,0.038825798861006185,0,5
7,1,0.16231539519749083,900,18
7,2,0.02494020074185465,1800,2
7,3,0.31418400806513447,2700,15
7,4,0.021354006511832502,3600,1
7,5,0.2390805576185703,4500,13
8,0,0.038825798861006185,0,7
8,1,0.13929674671151535,900,13
8,2,0.02494020074185465,1800,6
8,3,0.18800195581407275,2700,12
8,4,0.015705201571886884,3600,4
8,5,0.2390805576185703,4500,12
9,0,0.07006150732855891,0,5
9,1,0.16388148572548852,900,14
9,2,0.02494020074185465,1800,12
9,3,0.18800195581407275,2700,8
9,4,0.015667352310111935,3600,2
9,5,0.3409574809555045,4500,13
10,0,0.07006150732855891,0,6
10,1,0.16388148572548852,900,14
10,2,0.038859904385829695,1800,6
10,3,0.2626629760886518,2700,10
10,4,0.025156602602064596,3600,4
10,5,0.3409574809555045,4500,14
11,0,0.07006150732855891,0,4
11,1,0.10259390405692685,900,14
11,2,0.038859904385829695,1800,2
11,3,0.15213324960058686,2700,12
11,4,0.03240748304769025,3600,3
11,5,0.49111641073721796,4500,19
12,0,0.07006150732855891,0,0
12,1,0.10259390405692685,900,14
12,2,0.051410582762135504,1800,5
12,3,0.2460108972696234,2700,13
12,4,0.03240748304769025,3600,9
12,5,0.45706081173488683,4500,13
13,0,0.07006150732855891,0,4
13,1,0.10259390405692685,900,10
13,2,0.051410582762135504,1800,10
13,3,0.2460108972696234,2700,16
13,4,0.0490142798170579,3600,2
13,5,0.5187255578751493,4500,12
14,0,0.07006150732855891,0,4
14,1,0.1148498138501078,900,15
14,2,0.051410582762135504,1800,2
14,3,0.2460108972696234,2700,13
14,4,0.05328623225006563,3600,4
14,5,0.5930410590906167,4500,16
15,0,0.07006150732855891,0,1
15,1,0.07328395304187713,900,15
15,2,0.051410582762135504,1800,7
15,3,0.2460108972696234,2700,16
15,4,0.05328623225006563,3600,5
15,5,0.42591537674564195,4500,10
16,0,0.06568691817094352,0,9
16,1,0.07328395304187713,900,11
16,2,0.08992450901240345,1800,4
16,3,0.155158863441744,2700,16
16,4,0.05328623225006563,3600,5
16,5,0.42591537674564195,4500,9
17,0,0.06568691817094352,0,6
17,1,0.10720121633322767,900,12
17,2,0.1662457073347083,1800,4
17,3,0.15591268017143775,2700,14
17,4,0.05328623225006563,3600,4
17,5,0.5453131494643414,4500,14
18,0,0.06568691817094352,0,4
18,1,0.08406504289363233,900,10
18,2,0.1662457073347083,1800,9
18,3,0.11100783276263253,2700,16
18,4,0.05328623225006563,3600,4
18,5,0.6287833656561771,4500,11
19,0,0.06568691817094352,0,6
19,1,0.08406504289363233,900,7
19,2,0.1662457073347083,1800,13
19,3,0.07427316610520215,2700,14
19,4,0.05328623225006563,3600,3
19,5,0.6309682992629935,4500,11
20,0,0.05680319937664587,0,4
20,1,0.06110722112161105,900,8
20,2,0.1662457073347083,1800,14
20,3,0.07427316610520215,2700,13
20,4,0.05328623225006563,3600,4
20,5,0.6309682992629935,4500,11
21,0,0.09532359372683971,0,4
21,1,0.06110722112161105,900,13
21,2,0.1662457073347083,1800,5
21,3,0.07427316610520215,2700,13
21,4,0.05328623225006563,3600,4
21,5,0.7137778199552043,4500,15
22,0,0.09532359372683971,0,2
22,1,0.03420340855420689,900,13
22,2,0.2509624434366964,1800,16
22,3,0.07427316610520215,2700,9
22,4,0.05328623225006563,3600,4
22,5,0.7137778199552043,4500,10
23,0,0.09532359372683971,0,5
23,1,0.03420340855420689,900,5
23,2,0.31233666752336064,1800,18
23,3,0.07427316610520215,2700,9
23,4,0.031045502549838296,3600,6
23,5,0.7137778199552043,4500,11
24,0,0.062214719388666295,0,3
24,1,0.03420340855420689,900,6
24,2,0.31233666752336064,1800,10
24,3,0.07427316610520215,2700,16
24,4,0.031045502549838296,3600,10
24,5,0.7137778199552043,4500,9
25,0,0.062214719388666295,0,3
25,1,0.025968772342148377,900,10
25,2,0.31233666752336064,1800,16
25,3,0.07427316610520215,2700,4
25,4,0.031045502549838296,3600,3
25,5,0.648033387667345,4500,18
26,0,0.09065855016211698,0,7
26,1,0.025968772342148377,900,6
26,2,0.31233666752336064,1800,7
26,3,0.10364020099267646,2700,12
26,4,0.031045502549838296,3600,9
26,5,0.648033387667345,4500,13
27,0,0.053201056147273725,0,4
27,1,0.013356703579750093,900,9
27,2,0.31233666752336064,1800,8
27,3,0.10364020099267646,2700,6
27,4,0.031045502549838296,3600,8
27,5,0.529821294958264,4500,19
28,0,0.053201056147273725,0,7
28,1,0.013356703579750093,900,15
28,2,0.1797317899258575,1800,6
28,3,0.05456952248183795,2700,9
28,4,0.031045502549838296,3600,2
28,5,0.529821294958264,4500,15
29,0,0.053201056147273725,0,6
29,1,0.007346650906137304,900,10
29,2,0.1797317899258575,1800,13
29,3,0.09364134581254517,2700,10
29,4,0.031045502549838296,3600,4
29,5,0.529821294958264,4500,11
30,0,0.053201056147273725,0,3
30,1,0.007346650906137304,900,9
30,2,0.1797317899258575,1800,16
30,3,0.12993983451396207,2700,9
30,4,0.02706667032476747,3600,6
30,5,0.529821294958264,4500,11
31,0,0.053201056147273725,0,6
31,1,0.013706206212932297,900,11
31,2,0.1797317899258575,1800,11
31,3,0.12993983451396207,2700,9
31,4,0.04435509529623566,3600,6
31,5,0.529821294958264,4500,11
32,0,0.053201056147273725,0,6
32,1,0.013706206212932297,900,14
