gen,id,probability_maraud,position,successful_mating
0,0,0.01,0,2
0,1,0.3,900,13
0,2,0.01,1800,7
0,3,0.3,2700,17
0,4,0.01,3600,2
0,5,0.3,4500,17
0,6,0.01,5400,4
0,7,0.3,6300,12
0,8,0.01,7200,3
0,9,0.3,8100,16
0,10,0.01,9000,2
0,11,0.3,9900,13
1,0,0.010943598692268184,0,3
1,1,0.3,900,15
1,2,0.012915454394545618,1800,1
1,3,0.3,2700,10
1,4,0.0052931098657735464,3600,8
1,5,0.3,4500,9
1,6,0.018520497863599956,5400,4
1,7,0.3,6300,16
1,8,0.01414830000039396,7200,6
1,9,0.3,8100,20
1,10,0.018154861673369296,9000,1
1,11,0.3,9900,15
2,0,0.007205755422884869,0,5
2,1,0.3,900,18
2,2,0.020567674212644733,1800,3
2,3,0.3,2700,19
2,4,0.005295316050747541,3600,4
2,5,0.3,4500,12
2,6,0.02244410251194247,5400,5
2,7,0.3,6300,17
2,8,0.00766606956841274,7200,3
2,9,0.3,8100,9
2,10,0.019157193542132734,9000,0
2,11,0.3,9900,13
3,0,0.011141873240012866,0,5
3,1,0.3,900,10
3,2,0.041337694840810416,1800,7
3,3,0.3,2700,10
3,4,0.008712448128127813,3600,6
3,5,0.3,4500,12
3,6,0.012503377027926425,5400,7
3,7,0.3,6300,17
3,8,0.005498760246119776,7200,1
3,9,0.3,8100,14
3,10,0.024049664380920828,9000,3
3,11,0.3,9900,16
4,0,0.009994884156319682,0,4
4,1,0.3,900,12
4,2,0.029084624484007515,1800,4
4,3,0.3,2700,19
4,4,0.006819422581711025,3600,3
4,5,0.3,4500,10
4,6,0.006859009571384853,5400,3
4,7,0.3,6300,12
4,8,0.006609486954462341,7200,2
4,9,0.3,8100,14
4,10,0.018400482318674957,9000,4
4,11,0.3,9900,21
5,0,0.013236330743547714,0,3
5,1,0.3,900,12
5,2,0.042576087734881106,1800,4
5,3,0.3,2700,10
5,4,0.012291358541149764,3600,1
5,5,0.3,4500,20
5,6,0.0062417257555862915,5400,5
5,7,0.3,6300,12
5,8,0.011064942818763546,7200,8
5,9,0.3,8100,13
5,10,0.008817410787072929,9000,2
5,11,0.3,9900,18
6,0,0.008322052938975864,0,1
6,1,0.3,900,24
6,2,0.02233829291833826,1800,9
6,3,0.3,2700,9
6,4,0.008327058103891245,3600,2
6,5,0.3,4500,15
6,6,0.005127734820722828,5400,1
6,7,0.3,6300,17
6,8,0.016027620789636435,7200,3
6,9,0.3,8100,12
6,10,0.010501127421282126,9000,4
6,11,0.3,9900,11
7,0,0.00678459821331517,0,1
7,1,0.3,900,18
7,2,0.02233829291833826,1800,5
7,3,0.3,2700,11
7,4,0.006629889465353771,3600,1
7,5,0.3,4500,8
7,6,0.0038693579106208287,5400,3
7,7,0.3,6300,15
7,8,0.027086323774088848,7200,1
7,9,0.3,8100,21
7,10,0.006330016007091673,9000,6
7,11,0.3,9900,18
8,0,0.008627025917290388,0,4
8,1,0.3,900,10
8,2,0.032156313591797166,1800,4
8,3,0.3,2700,8
8,4,0.005929087027297805,3600,3
8,5,0.4492306722682908,4500,16
8,6,0.002466543469813372,5400,2
8,7,0.3,6300,20
8,8,0.013442422151619098,7200,2
8,9,0.3,8100,17
8,10,0.003839631678846656,9000,0
8,11,0.3,9900,22
9,0,0.007291740848547655,0,2
9,1,0.3,900,18
9,2,0.03264130055785697,1800,3
9,3,0.3905944707060691,2700,10
9,4,0.003249714851486726,3600,3
9,5,0.4492306722682908,4500,17
9,6,0.00365082250949919,5400,3
9,7,0.3,6300,13
9,8,0.025088284642879627,7200,5
9,9,0.3,8100,14
9,10,0.00454101243422071,9000,3
9,11,0.3,9900,17
10,0,0.009635361618590896,0,1
10,1,0.3,900,15
10,2,0.02594541547375316,1800,1
10,3,0.3905944707060691,2700,13
10,4,0.0037952095262357957,3600,3
10,5,0.4492306722682908,4500,18
10,6,0.0019696666466385627,5400,4
10,7,0.3,6300,20
10,8,0.013465266075571898,7200,7
10,9,0.3,8100,11
10,10,0.002757499760370662,9000,3
10,11,0.3,9900,12
11,0,0.01734058961283548,0,9
11,1,0.3,900,18
11,2,0.03495109551317169,1800,5
11,3,0.3905944707060691,2700,16
11,4,0.005199211957210829,3600,2
11,5,0.4492306722682908,4500,9
11,6,0.0016660102411863973,5400,5
