gen,id,probability_maraud,position,successful_mating
0,0,0.01,0,10
0,1,0.01,900,6
0,2,0.01,1800,5
0,3,0.01,2700,14
0,4,0.01,3600,11
0,5,0.01,4500,8
1,0,0.01,0,8
1,1,0.007025629679376326,900,11
1,2,0.013289890724505121,1800,10
1,3,0.01,2700,10
1,4,0.01,3600,8
1,5,0.012015266330725954,4500,7
2,0,0.014949561968727858,0,8
2,1,0.007025629679376326,900,6
2,2,0.013289890724505121,1800,9
2,3,0.01,2700,12
2,4,0.011057998464347182,3600,13
2,5,0.004338927039395299,4500,6
3,0,0.012188002583632675,0,8
3,1,0.0155177564499342,900,11
3,2,0.013289890724505121,1800,7
3,3,0.01,2700,12
3,4,0.011057998464347182,3600,11
3,5,0.003308903707333629,4500,5
4,0,0.012457914075951294,0,5
4,1,0.0155177564499342,900,5
4,2,0.021559114947427835,1800,9
4,3,0.01,2700,9
4,4,0.011057998464347182,3600,14
4,5,0.004411249594918249,4500,12
5,0,0.007522426451251168,0,7
5,1,0.007191008884891156,900,10
5,2,0.021559114947427835,1800,7
5,3,0.01,2700,5
5,4,0.011057998464347182,3600,10
5,5,0.004411249594918249,4500,15
6,0,0.011347362714478035,0,7
6,1,0.007191008884891156,900,9
6,2,0.02734878519481121,1800,11
6,3,0.005863608934725907,2700,6
6,4,0.011057998464347182,3600,16
6,5,0.004411249594918249,4500,5
7,0,0.015343461963619126,0,16
7,1,0.007191008884891156,900,4
7,2,0.02734878519481121,1800,13
7,3,0.009213697222716697,2700,5
7,4,0.011057998464347182,3600,7
7,5,0.00423930348942539,4500,9
8,0,0.015343461963619126,0,11
8,1,0.009970950721465047,900,7
8,2,0.02734878519481121,1800,10
8,3,0.005116894098966687,2700,6
8,4,0.008017348413682358,3600,11
8,5,0.00423930348942539,4500,9
9,0,0.015343461963619126,0,6
9,1,0.007585450950885892,900,6
9,2,0.02734878519481121,1800,8
9,3,0.013751460852278952,2700,12
9,4,0.008017348413682358,3600,9
9,5,0.00423930348942539,4500,13
10,0,0.017990406268364373,0,13
10,1,0.007750636472704298,900,10
10,2,0.03289751677530808,1800,8
10,3,0.013751460852278952,2700,6
10,4,0.008017348413682358,3600,7
10,5,0.00423930348942539,4500,10
11,0,0.017990406268364373,0,13
11,1,0.007750636472704298,900,9
11,2,0.02818739702592328,1800,7
11,3,0.011853200588023112,2700,11
11,4,0.005057995771328167,3600,9
11,5,0.00423930348942539,4500,5
12,0,0.017990406268364373,0,12
12,1,0.007750636472704298,900,11
12,2,0.021166932203843684,1800,10
12,3,0.011853200588023112,2700,6
12,4,0.005057995771328167,3600,3
12,5,0.0023658182543823264,4500,12
13,0,0.017990406268364373,0,16
13,1,0.007750636472704298,900,9
13,2,0.021166932203843684,1800,8
13,3,0.020529066903539096,2700,9
13,4,0.013137389241335838,3600,4
13,5,0.0023658182543823264,4500,8
14,0,0.017990406268364373,0,15
14,1,0.007750636472704298,900,5
14,2,0.02367884804807124,1800,6
14,3,0.020529066903539096,2700,10
14,4,0.00485676393617524,3600,9
14,5,0.0020074470938716963,4500,9
15,0,0.017990406268364373,0,8
15,1,0.008670841461150255,900,7
15,2,0.04128936701811621,1800,5
15,3,0.020529066903539096,2700,12
15,4,0.00485676393617524,3600,5
15,5,0.0020074470938716963,4500,17
16,0,0.017071793587221887,0,16
16,1,0.0062693694951414065,900,2
16,2,0.044028740673765394,1800,7
16,3,0.020529066903539096,2700,12
16,4,0.0051026014345043925,3600,8
16,5,0.0020074470938716963,4500,9
17,0,0.017071793587221887,0,12
17,1,0.0049101392968483966,900,10
17,2,0.05463017014595778,1800,6
17,3,0.020529066903539096,2700,9
17,4,0.0048076648701630125,3600,6
17,5,0.0020074470938716963,4500,11
18,0,0.017071793587221887,0,10
18,1,0.0049101392968483966,900,6
18,2,0.035252979161092754,1800,14
18,3,0.020529066903539096,2700,4
18,4,0.0026100747286862285,3600,4
18,5,0.0020074470938716963,4500,16
19,0,0.017071793587221887,0,9
19,1,0.0032911296550032034,900,9
19,2,0.035252979161092754,1800,11
19,3,0.011006989968725702,2700,11
19,4,0.004633425011621534,3600,8
19,5,0.0020074470938716963,4500,6
20,0,0.017071793587221887,0,9
20,1,0.0032911296550032034,900,6
20,2,0.035252979161092754,1800,9
20,3,0.011006989968725702,2700,7
20,4,0.0030571120402720212,3600,13
20,5,0.002312413070839332,4500,10
21,0,0.017071793587221887,0,13
21,1,0.007148711129834337,900,13
21,2,0.035252979161092754,1800,9
21,3,0.014317411422326468,2700,7
21,4,0.0030571120402720212,3600,7
21,5,0.002312413070839332,4500,5
22,0,0.017071793587221887,0,10
22,1,0.007148711129834337,900,9
22,2,0.035252979161092754,1800,9
22,3,0.013802363483242215,2700,4
22,4,0.0026973503616560387,3600,15
22,5,0.002901728052341919,4500,7
23,0,0.017071793587221887,0,10
23,1,0.007148711129834337,900,7
23,2,0.035252979161092754,1800,12
23,3,0.006663569619370341,2700,4
23,4,0.0026973503616560387,3600,16
23,5,0.0020423803036293572,4500,5
24,0,0.017071793587221887,0,11
24,1,0.00577907099050807,900,9
24,2,0.035252979161092754,1800,9
24,3,0.004228828958449243,2700,9
24,4,0.0026973503616560387,3600,10
24,5,0.0013603568394956287,4500,6
25,0,0.017071793587221887,0,15
25,1,0.00577907099050807,900,5
25,2,0.035252979161092754,1800,11
25,3,0.004228828958449243,2700,8
25,4,0.0026973503616560387,3600,9
25,5,0.0015629169065050734,4500,6
26,0,0.017071793587221887,0,10
26,1,0.0038897354838988295,900,10
26,2,0.035252979161092754,1800,9
26,3,0.004637322309721263,2700,6
26,4,0.0026973503616560387,3600,8
26,5,0.0014541249396986724,4500,11
27,0,0.017071793587221887,0,10
27,1,0.0038897354838988295,900,9
27,2,0.035252979161092754,1800,13
27,3,0.0072989867323605415,2700,6
27,4,0.004179311537098677,3600,6
27,5,0.0014541249396986724,4500,10
28,0,0.017071793587221887,0,6
28,1,0.0038897354838988295,900,11
28,2,0.035252979161092754,1800,14
28,3,0.01433286986394904,2700,7
28,4,0.005184747263019707,3600,7
28,5,0.0014541249396986724,4500,9
29,0,0.012108831853597325,0,9
29,1,0.0038897354838988295,900,10
29,2,0.035252979161092754,1800,10
29,3,0.019411531939625925,2700,8
29,4,0.005616643824035634,3600,11
29,5,0.0014541249396986724,4500,6
30,0,0.012108831853597325,0,6
30,1,0.0038897354838988295,900,15
30,2,0.035252979161092754,1800,6
30,3,0.028202828292392738,2700,10
30,4,0.005616643824035634,3600,9
30,5,0.0005940489882487773,4500,8
31,0,0.010278497324086647,0,5
31,1,0.0038897354838988295,900,9
31,2,0.04493400922508082,1800,11
31,3,0.028202828292392738,2700,6
31,4,0.005616643824035634,3600,14
31,5,0.0005018723708347731,4500,9
32,0,0.0184745949819661,0,11
32,1,0.0038897354838988295,900,5
32,2,0.04493400922508082,1800,5
32,3,0.030497584823459153,2700,7
32,4,0.005616643824035634,3600,18
32,5,0.0005018723708347731,4500,8
33,0,0.0184745949819661,0,6
33,1,0.002377817615604733,900,8
33,2,0.02513101159144907,1800,7
33,3,0.030608077047527486,2700,8
33,4,0.005616643824035634,3600,12
33,5,0.0005317301302800231,4500,13
34,0,0.00962842974323883,0,8
34,1,0.002325578665742318,900,10
34,2,0.017150435058115237,1800,13
34,3,0.02789001100430954,2700,5
34,4,0.005616643824035634,3600,7
34,5,0.0005317301302800231,4500,11
35,0,0.012500806980264713,0,4
35,1,0.002325578665742318,900,10
35,2,0.017150435058115237,1800,9
35,3,0.0747949442526995,2700,11
35,4,0.006954957920933149,3600,9
35,5,0.0005317301302800231,4500,11
36,0,0.005006077202960198,0,9
36,1,0.002325578665742318,900,11
36,2,0.017150435058115237,1800,13
36,3,0.0747949442526995,2700,10
36,4,0.006954957920933149,3600,8
36,5,0.0005317301302800231,4500,3
37,0,0.005006077202960198,0,8
37,1,0.002325578665742318,900,11
37,2,0.017150435058115237,1800,8
37,3,0.0747949442526995,2700,7
37,4,0.00772748556945521,3600,6
37,5,0.0001312855851202148,4500,14
38,0,0.005997802884114223,0,9
38,1,0.002325578665742318,900,6
38,2,0.0206047315007678,1800,8
38,3,0.057187849882485514,2700,8
38,4,0.010667684890904998,3600,16
38,5,0.0001312855851202148,4500,7
39,0,0.005997802884114223,0,9
39,1,0.0012639579162585532,900,9
39,2,0.023688911803111074,1800,4
39,3,0.05893350299111383,2700,8
39,4,0.010667684890904998,3600,14
39,5,0.00010650977906616151,4500,10
40,0,0.005997802884114223,0,14
40,1,0.0012639579162585532,900,8
40,2,0.008204186605396997,1800,9
40,3,0.05069460509405775,2700,11
40,4,0.010667684890904998,3600,6
40,5,0.00010650977906616151,4500,6
41,0,0.005997802884114223,0,9
41,1,0.0010666386521930933,900,7
41,2,0.008204186605396997,1800,7
41,3,0.05069460509405775,2700,11
41,4,0.00602520501305943,3600,12
41,5,8.299618458745195e-05,4500,8
42,0,0.005997802884114223,0,11
42,1,0.001674957691070904,900,11
42,2,0.0043359586618480425,1800,7
42,3,0.05069460509405775,2700,9
42,4,0.00602520501305943,3600,8
42,5,5.910390679692753e-05,4500,8
43,0,0.005997802884114223,0,8
43,1,0.001674957691070904,900,7
43,2,0.005890395592611378,1800,9
43,3,0.05069460509405775,2700,10
