gen,id,probability_maraud,position,successful_mating
0,0,0.01,0,4
0,1,0.3,600,12
0,2,0.01,1200,3
0,3,0.3,1800,19
0,4,0.01,2400,8
0,5,0.3,3000,8
1,0,0.00821525480481085,0,8
1,1,0.3,600,8
1,2,0.007056998693710315,1200,4
1,3,0.3,1800,13
1,4,0.011368065767595444,2400,5
1,5,0.2842570820999443,3000,16
2,0,0.007295990130299476,0,5
2,1,0.33544880704561125,600,13
2,2,0.006355309232086414,1200,2
2,3,0.3,1800,15
2,4,0.010756723325556578,2400,6
2,5,0.2842570820999443,3000,13
3,0,0.006861091591724908,0,5
3,1,0.33544880704561125,600,14
3,2,0.005939378686633312,1200,1
3,3,0.3,1800,13
3,4,0.009416268878293246,2400,7
3,5,0.2842570820999443,3000,13
4,0,0.012467853075299766,0,5
4,1,0.33544880704561125,600,19
4,2,0.010619597862765895,1200,6
4,3,0.3,1800,11
4,4,0.009685179225171902,2400,4
4,5,0.2842570820999443,3000,9
5,0,0.008298228273915688,0,3
5,1,0.33544880704561125,600,14
5,2,0.01632543065396609,1200,6
5,3,0.3,1800,13
5,4,0.009769293000287765,2400,5
5,5,0.2842570820999443,3000,13
6,0,0.014840160735878221,0,4
6,1,0.33544880704561125,600,13
6,2,0.023934121016311514,1200,3
6,3,0.3,1800,11
6,4,0.010622408141105034,2400,12
6,5,0.2842570820999443,3000,11
7,0,0.031836478626999024,0,5
7,1,0.33544880704561125,600,15
7,2,0.05350215616225553,1200,4
7,3,0.3,1800,8
7,4,0.010622408141105034,2400,6
7,5,0.2842570820999443,3000,16
8,0,0.02696741850381913,0,3
8,1,0.33544880704561125,600,12
8,2,0.10010333490403961,1200,4
8,3,0.29838381024370586,1800,14
8,4,0.008341777219652603,2400,11
8,5,0.2842570820999443,3000,10
9,0,0.07556442131832254,0,6
9,1,0.33544880704561125,600,14
9,2,0.0696817736537983,1200,2
9,3,0.29838381024370586,1800,11
9,4,0.008341777219652603,2400,7
9,5,0.2842570820999443,3000,14
10,0,0.04707808886343208,0,1
10,1,0.33544880704561125,600,8
10,2,0.14319337776874363,1200,1
10,3,0.29838381024370586,1800,17
10,4,0.007311132634935013,2400,9
10,5,0.2842570820999443,3000,18
11,0,0.03821774757599232,0,5
11,1,0.35926270733645016,600,9
11,2,0.15548513348222157,1200,11
11,3,0.29838381024370586,1800,9
11,4,0.007311132634935013,2400,3
11,5,0.2842570820999443,3000,17
12,0,0.05777176927874889,0,4
12,1,0.35926270733645016,600,13
12,2,0.15548513348222157,1200,5
12,3,0.29838381024370586,1800,13
12,4,0.008137586990451558,2400,2
12,5,0.2842570820999443,3000,17
13,0,0.09245596656930812,0,4
13,1,0.35926270733645016,600,13
13,2,0.1451376897593702,1200,7
13,3,0.29838381024370586,1800,10
13,4,0.0037165713537774723,2400,8
13,5,0.2842570820999443,3000,12
14,0,0.03681860858215708,0,4
14,1,0.35926270733645016,600,14
14,2,0.10252717553461177,1200,5
14,3,0.29838381024370586,1800,13
14,4,0.00363869324018751,2400,5
14,5,0.2842570820999443,3000,13
15,0,0.06451426983110906,0,11
15,1,0.35926270733645016,600,11
15,2,0.0662920835310545,1200,3
15,3,0.29838381024370586,1800,12
15,4,0.004186810127927077,2400,6
15,5,0.2842570820999443,3000,11
16,0,0.06451426983110906,0,10
16,1,0.35926270733645016,600,16
16,2,0.01973512071832461,1200,4
16,3,0.29838381024370586,1800,9
16,4,0.0022273174687142735,2400,0
16,5,0.2842570820999443,3000,15
17,0,0.06451426983110906,0,5
17,1,0.35926270733645016,600,14
17,2,0.01643809497451703,1200,4
17,3,0.29838381024370586,1800,13
17,4,0.0010956277644837305,2400,2
17,5,0.2842570820999443,3000,15
18,0,0.03982225490706252,0,3
18,1,0.35926270733645016,600,12
18,2,0.03266492413161671,1200,5
18,3,0.29838381024370586,1800,21
18,4,0.0008196448820770847,2400,5
18,5,0.2842570820999443,3000,8
19,0,0.037181473890105676,0,7
19,1,0.35926270733645016,600,17
19,2,0.051322418771003395,1200,1
19,3,0.29838381024370586,1800,15
19,4,0.0011349974054139212,2400,3
19,5,0.2608876029720359,3000,11
20,0,0.03189714097356493,0,4
20,1,0.35926270733645016,600,17
20,2,0.03364797131129261,1200,4
20,3,0.29838381024370586,1800,9
20,4,0.0020699680032598487,2400,3
20,5,0.2608876029720359,3000,17
21,0,0.028190865720226124,0,3
21,1,0.35926270733645016,600,16
21,2,0.03292400802098096,1200,3
21,3,0.29838381024370586,1800,17
21,4,0.0013968866682763834,2400,2
21,5,0.2608876029720359,3000,13
22,0,0.03212284730846803,0,6
22,1,0.35926270733645016,600,17
22,2,0.024423130131018114,1200,3
22,3,0.29838381024370586,1800,13
22,4,0.001517697971433176,2400,4
22,5,0.2608876029720359,3000,10
23,0,0.03467436588512106,0,8
23,1,0.35926270733645016,600,12
23,2,0.011636567116602074,1200,7
23,3,0.29838381024370586,1800,10
23,4,0.0015775836446238352,2400,2
23,5,0.2608876029720359,3000,15
24,0,0.03980690667278569,0,4
24,1,0.35926270733645016,600,11
24,2,0.013207161171607867,1200,3
24,3,0.29838381024370586,1800,22
24,4,0.0019456644461834716,2400,4
24,5,0.2608876029720359,3000,10
25,0,0.06481166429266975,0,8
25,1,0.35926270733645016,600,16
25,2,0.02121258912752685,1200,4
25,3,0.29838381024370586,1800,12
25,4,0.0026850501612099634,2400,1
25,5,0.2608876029720359,3000,13
26,0,0.059543146433521175,0,5
26,1,0.35926270733645016,600,14
26,2,0.016170741115191813,1200,5
26,3,0.29838381024370586,1800,10
26,4,0.002061594866637347,2400,6
26,5,0.2608876029720359,3000,14
27,0,0.07615486217681715,0,6
27,1,0.35926270733645016,600,7
27,2,0.0080724330656629,1200,5
27,3,0.29838381024370586,1800,18
27,4,0.0014381275681650666,2400,5
27,5,0.2608876029720359,3000,13
28,0,0.059369278835072856,0,3
28,1,0.31042723746969986,600,11
28,2,0.009589256205198252,1200,7
28,3,0.29838381024370586,1800,17
28,4,0.0014282082096318755,2400,5
28,5,0.2608876029720359,3000,11
29,0,0.10260523888257497,0,10
29,1,0.31042723746969986,600,10
29,2,0.0071525104366133695,1200,3
29,3,0.29838381024370586,1800,16
29,4,0.0010350085998578821,2400,4
29,5,0.2608876029720359,3000,11
30,0,0.10260523888257497,0,8
30,1,0.31042723746969986,600,11
30,2,0.010608459240309032,1200,5
30,3,0.29838381024370586,1800,15
30,4,0.0023350805276704766,2400,2
30,5,0.2608876029720359,3000,13
31,0,0.09124102073009675,0,2
31,1,0.31042723746969986,600,15
31,2,0.007488058239739462,1200,3
31,3,0.29838381024370586,1800,10
